,iso_o,iso_d,Distw,Comlang,Contig,GDP_d,GDP_o,POP_o,Pop_d,XPTOT_o,emotenss f
11008,CUB,ITA,8515.877002,0,0,130960672.0,86979790807.0,1022.099976,8697.979081,1752388096.0,15800000.0
11010,CUB,JOR,10925.3601,0,0,1004643264.0,110000000000.0,5009.005859000001,11045.6325,2020920448.0,16000000.0
11012,CUB,KAZ,11693.81116,0,0,9565473792.0,123000000000.0,42518.0,12332.4128,2919056640.0,15300000.0
11014,CUB,KGZ,12397.79286,0,0,820429504.0,123000000000.0,3265.125977,12306.14415,3539955456.0,16300000.0
11017,CUB,KOR,12899.170909999999,0,0,27321440.0,126000000000.0,823.8850097999999,12600.29553,4554823168.0,16600000.0
11021,CUB,LBR,7631.0199379999995,0,0,126250000.0,78515579791.0,2853.150879,7851.557979000001,261334208.0,15700000.0
11022,CUB,LBY,9237.179591,0,0,926971456.0,91224316950.0,6935.100098000001,9122.431695000001,306655616.0,16400000.0
11024,CUB,LKA,16071.906659999999,0,0,469522080.0,162000000000.0,8892.717773,16153.455869999998,372291712.0,16100000.0
11027,CUB,LUX,7878.500797,0,0,525000000.0,79682153464.0,31796.93945,7968.215345999999,331481568.0,16000000.0
11029,CUB,MAC,14694.18164,0,0,1610589568.0,147000000000.0,28062.96289,14690.99771,323983712.0,16200000.0
11030,CUB,MAR,7158.291518999999,0,0,785714624.0,72600278304.0,7566.027831999999,7260.02783,355645344.0,15900000.0
11034,CUB,MEX,2283.268094,1,0,1741547008.0,17823594728.0,28485.179689999997,1782.359473,566811456.0,20700000.0
11037,CUB,MLT,8962.902306999998,0,0,13159998464.0,91067607598.0,50127.0,9106.76076,739732608.0,15900000.0
11040,CUB,MOZ,13322.48662,0,0,628195904.0,135000000000.0,8442.75,13535.0447,763606528.0,15900000.0
11041,CUB,MRT,6746.423615000001,0,0,4227857664.0,68792215968.0,83805.0,6879.221597,752829568.0,15900000.0
11044,CUB,MWI,13067.31782,0,0,1952256896.0,133000000000.0,7014.0,13258.6847,13892863.0,15900000.0
11045,CUB,MYS,17091.18491,0,0,77967800.0,171000000000.0,1384.550049,17061.258830000002,19785724.0,16200000.0
11047,CUB,NER,8905.133731999998,0,0,33225048.0,88691791488.0,481.26998899999995,8869.179149,24142868.0,16200000.0
11048,CUB,NGA,9211.396665,0,0,220141680.0,92962829216.0,2194.274902,9296.282922,22678582.0,16000000.0
11051,CUB,NOR,7866.962862,0,0,201020496.0,79666161804.0,5163.442871,7966.61618,26571440.0,16000000.0
11052,CUB,NPL,14258.87471,0,0,547974208.0,142000000000.0,1908.310059,14210.245659999999,31107156.0,16200000.0
11053,CUB,NRU,12442.89105,0,0,5346073600.0,121000000000.0,47105.0,12141.56815,23785724.0,16600000.0
11054,CUB,NZL,12868.18421,0,0,30614300.0,127000000000.0,1227.1560060000002,12718.48162,29656234.0,16400000.0
11057,CUB,PAN,1498.764299,1,0,278214400.0,16042173058.0,2218.0,1604.217306,15986907.0,15100000.0
11058,CUB,PER,3734.3846829999998,1,0,342857280.0,39548383580.0,3369.955078,3954.838358,5230115.0,15300000.0
11061,CUB,POL,8710.314475,0,0,66442888.0,88536990984.0,1364.030029,8853.699098000001,8216765.5,15900000.0
11062,CUB,PRK,12659.40628,0,0,360581920.0,125000000000.0,7632.5,12510.05416,2260205.0,16400000.0
11063,CUB,PRT,6848.5887920000005,0,0,72903600.0,70155586749.0,778.5549927000001,7015.558675,2226040.0,15800000.0
11064,CUB,PRY,5812.81297,1,0,2598215424.0,60064843092.0,16311.0,6006.484309,8599080.0,15700000.0
11065,CUB,PYF,8791.357295,0,0,283125408.0,85837570341.0,19487.65625,8583.757034,7822575.0,16600000.0
11066,CUB,QAT,12579.9181,0,0,671428864.0,127000000000.0,20845.77148,12691.3816,7082715.0,16000000.0
11068,CUB,ROM,9399.816139,0,0,308164416.0,95821343787.0,7533.097168000001,9582.134379000001,4976410.0,15900000.0
11069,CUB,RUS,10055.95829,0,0,217332256.0,95871067013.0,3859.801025,9587.106701,6869364.0,17000000.0
11073,CUB,SEN,6645.766855,0,0,2410912000.0,68457713465.0,8639.369141,6845.7713459999995,14326136.0,15700000.0
11079,CUB,SOM,13359.816859999999,0,0,116142912.0,137000000000.0,3097.219971,13706.23906,150990096.0,15800000.0
11082,CUB,SUR,3278.038586,0,0,409276160.0,34902748744.0,20041.62891,3490.274874,541786176.0,15200000.0
11083,CUB,SVK,8810.304172,0,0,40496448.0,87806159679.0,1097.9160160000001,8780.615968,412776960.0,16200000.0
11088,CUB,SYR,10830.69067,0,0,42692116.0,110000000000.0,826.3079834,10973.74463,1181324544.0,16000000.0
11090,CUB,TCD,10151.14859,0,0,1773215104.0,102000000000.0,10113.52734,10225.48932,1410962304.0,16100000.0
11093,CUB,TJK,12522.54616,0,0,202998848.0,125000000000.0,5297.454102000001,12527.84846,2107986816.0,16200000.0
