,iso_o,iso_d,Distw,Comlang,Contig,GDP_d,GDP_o,POP_o,Pop_d,Remotenss,Trade Flow
9099,CIV,ABW,7194.49568,0,0,21537140736,72784138384,122245,7278.413838,16000000,2042766
9100,CIV,AFG,8067.372396,0,0,,81356418041,2390,8135.641804,16000000,2350185.5
9101,CIV,AGO,2712.489592,0,0,847357760,24782575922,6396,2478.257592,17700000,2969649.75
9102,CIV,ALB,4602.337694,0,0,,46520570018,490,4652.057002,16000000,2087521.25
9103,CIV,ANT,6991.748251,0,0,,71586304628,6965.418457,7158.630463,15800000,3097987.5
9104,CIV,ARE,6705.427553,0,0,318729952,65737241032,3518,6573.724103,16500000,3444558.25
9105,CIV,ARG,7342.303129,0,0,,72097565563,5396,7209.756556,16500000,3634358
9106,CIV,ARM,6199.908404,0,0,160875808,61932392340,1471,6193.239234,16200000,4187009
9107,CIV,ATG,6336.986755,0,0,,64176971664,892.9249268,6417.697166,16000000,5350451
9108,CIV,AUS,15621.12902,0,0,,1.59E+11,748.1589355,15941.16276,15800000,4584816
9109,CIV,AUT,5029.720035,0,0,,51462562561,4316,5146.256256,15800000,800552.125
9110,CIV,AZE,6539.934993,0,0,1456138112,66224481940,63244,6622.448194,16000000,705227.125
9111,CIV,BDI,3952.578722,1,0,8325198.5,38328223555,5950,3832.822355,16700000,524985
9112,CIV,BEL,5057.003111,1,0,165749504,51227673602,2937,5122.76736,16000000,948833.3125
9113,CIV,BEN,821.2593364,1,0,,7253905941,2205.650635,725.3905941,18300000,790702
9114,CIV,BFA,754.1520689,1,1,,8295333373,13313.13477,829.5333373,14700000,1038606.5
9115,CIV,BGD,10261.64677,0,0,38915100,1.02E+11,1526,10215.92464,16200000,1197241.5
9116,CIV,BGR,5014.652941,0,0,,49520923514,13952,4952.092351,16400000,1657736.25
9117,CIV,BHR,6263.200576,0,0,39944600,62351437084,1753,6235.143708,16200000,2247142.5
9118,CIV,BHS,8002.784351,0,0,2793276672,80768069290,41230,8076.806929,16000000,2375571.25
9119,CIV,BIH,4783.392788,0,0,,48113387188,27856,4811.338719,16100000,2581123.5
9120,CIV,BLR,6056.63534,0,0,349939680,61077548388,6664,6107.754839,16000000,2046019.625
9121,CIV,BLZ,9157.233379,0,0,,92116344961,5669,9211.634496,16100000,2116041.5
9122,CIV,BMU,6853.541351,0,0,,69565770023,463.281311,6956.577002,15900000,1452934
9123,CIV,BOL,7219.650316,0,0,,74519325506,7583.472656,7451.932551,15700000,1039842.313
9124,CIV,BRA,5234.485479,0,0,305468192,56253672532,4201.904785,5625.367253,15100000,879342
9125,CIV,BRB,6069.996829,0,0,536601888,61498673723,7782,6149.867372,16000000,703495.75
9126,CIV,BRN,13184.13797,0,0,,1.31E+11,3675.911377,13144.17046,16200000,756197.375
9127,CIV,BTN,10154.41795,0,0,,1.01E+11,2582.307129,10096.03465,16300000,556546.75
9128,CIV,BWA,4688.009232,0,0,,46482791121,1602.776855,4648.279112,16300000,5073750
9129,CIV,CAF,2570.980951,1,0,181603792,25079633942,,2507.963394,16600000,5631569
9130,CIV,CAN,8950.44417,1,0,,81594236299,785,8159.42363,17700000,5105882.5
9131,CIV,CHE,4711.098084,1,0,,48278325624,1410,4827.832562,15800000,4980294.5
9132,CIV,CHL,8245.759867,0,0,137281856,82099560221,3424,8209.956022,16200000,2186470.75
9133,CIV,CHN,12357.87233,0,0,298052448,1.30E+11,9371.525391,12959.76702,15400000,4737353
9134,CIV,CMR,1809.648843,1,0,,17313054816,1213,1731.305482,16900000,6688970
9135,CIV,COD,3034.256123,1,0,32443484,24021311501,575,2402.13115,20400000,7294117.5
9136,CIV,COG,2382.697616,1,0,14000001,23946468234,,2394.646823,16100000,10341667
9137,CIV,COL,7766.129563,0,0,124254352,77559479862,3449,7755.947986,16200000,11920403
9138,CIV,COM,5715.109894,1,0,217645664,55616432560,4265.755859,5561.643256,16600000,15012068
9139,CIV,CPV,2377.955421,0,0,,23815637198,3784.825195,2381.56372,16100000,22934184
9140,CIV,CRI,8752.719534,0,0,,88191600886,2683.648682,8819.160089,16100000,22630844
9141,CIV,CUB,8225.531556,0,0,18600000,85858677220,1009,8585.867722,15500000,21750010
9142,CIV,CUW,,0,0,186523808,71586304628,7914,7158.630463,0,23892868
9143,CIV,CYM,8401.875552,0,0,452501248,84871949905,17175,8487.19499,16000000,20250008
9144,CIV,CYP,5049.074461,0,0,,50675527574,14141,5067.552757,16100000,17107150
9145,CIV,CZE,5236.368446,0,0,7266978.5,52683487073,6027,5268.348707,16100000,25892868
